year,avg
1796,25.2730000000000000
1797,26.5260000000000000
1798,24.6880000000000000
1799,25.5455000000000000
1800,25.5050000000000000
1801,24.5940000000000000
1802,25.9720000000000000
1803,25.7320000000000000
1804,26.0745000000000000
1805,25.6165000000000000
1806,25.5170000000000000
1807,25.0045000000000000
1808,
1809,
1810,
1811,
1812,
1813,24.8625000000000000
1814,24.1580000000000000
1815,24.3980000000000000
1816,24.0218181818181818
1817,24.0022727272727273
1818,24.3845454545454545
1819,24.0518181818181818
1820,24.3504545454545455
1821,24.9436363636363636
1822,25.0250000000000000
1823,24.9418181818181818
1824,25.6385000000000000
1825,25.3900000000000000
1826,25.4470000000000000
1827,25.5590000000000000
1828,25.2150000000000000
1829,25.0340000000000000
1830,25.2735000000000000
1831,24.8255000000000000
1832,25.0380000000000000
1833,24.9659090909090909
1834,24.9386363636363636
1835,24.0545454545454545
1836,24.6122727272727273
1837,24.6672727272727273
1838,24.9731818181818182
1839,24.8505000000000000
1840,24.8545454545454545
1841,24.7181818181818182
1842,24.9627272727272727
1843,24.7500000000000000
1844,24.4918181818181818
1845,24.7522727272727273
1846,25.1914285714285714
1847,24.7014285714285714
1848,24.6400000000000000
1849,24.6300000000000000
1850,24.9209090909090909
1851,24.8827272727272727
1852,24.7850000000000000
1853,25.0595454545454545
1854,25.1672727272727273
1855,25.2572727272727273
1856,24.2727272727272727
1857,24.0081818181818182
1858,25.1776923076923077
1859,25.2438461538461538
1860,24.9992307692307692
1861,24.8930769230769231
1862,21.4540000000000000
1863,25.7200000000000000
1864,25.5400000000000000
1865,25.8352941176470588
1866,24.9170588235294118
1867,25.2441176470588235
1868,25.2694117647058824
1869,25.3294444444444444
1870,24.9650000000000000
1871,25.0159090909090909
1872,25.0345454545454545
1873,25.1222727272727273
1874,24.9063636363636364
1875,25.2631818181818182
1876,25.1618181818181818
1877,25.3322727272727273
1878,25.5268181818181818
1879,24.9704545454545455
1880,25.3359090909090909
1881,25.0881818181818182
1882,24.9763636363636364
1883,24.7581818181818182
1884,24.6468181818181818
1885,24.7486363636363636
1886,25.0572727272727273
1887,24.8254545454545455
1888,25.0772727272727273
1889,25.3718181818181818
1890,25.1245454545454545
1891,24.9586363636363636
1892,25.4800000000000000
1893,24.1804545454545455
1894,25.0450000000000000
1895,25.2313636363636364
1896,25.9022727272727273
1897,25.6186363636363636
1898,25.5290909090909091
1899,25.6927272727272727
1900,25.7486363636363636
1901,25.5040909090909091
1902,25.8168181818181818
1903,25.1990909090909091
1904,25.2013636363636364
1905,24.9122727272727273
1906,25.2490909090909091
1907,25.1218181818181818
1908,25.1650000000000000
1909,24.9927272727272727
1910,24.9381818181818182
1911,25.3654545454545455
1912,25.4468181818181818
1913,25.0963636363636364
1914,25.2672727272727273
1915,25.7290909090909091
1916,25.2177272727272727
1917,24.3422727272727273
1918,25.2486363636363636
1919,25.1500000000000000
1920,25.3586363636363636
1921,25.8309090909090909
1922,25.2668181818181818
1923,25.3454545454545455
1924,25.4204545454545455
1925,25.0881818181818182
1926,25.1818181818181818
1927,25.0986363636363636
1928,25.5850000000000000
1929,25.4513636363636364
1930,25.2922727272727273
1931,25.7022727272727273
1932,25.6009090909090909
1933,24.9036363636363636
1934,25.1609090909090909
1935,25.1059090909090909
1936,25.1531818181818182
1937,25.0268181818181818
1938,25.3131818181818182
1939,25.3845454545454545
1940,25.2813636363636364
1941,26.1500000000000000
1942,25.5736363636363636
1943,25.3631818181818182
1944,25.2154545454545455
1945,24.9677272727272727
1946,25.5150000000000000
1947,25.6959090909090909
1948,25.6450000000000000
1949,25.5550000000000000
1950,24.9872727272727273
1951,25.6754545454545455
1952,25.8277272727272727
1953,26.0318181818181818
1954,25.6086363636363636
1955,25.3663636363636364
1956,25.2827272727272727
1957,25.3804545454545455
1958,26.1277272727272727
1959,25.6677272727272727
1960,25.6700000000000000
1961,25.1504545454545455
1962,25.3077272727272727
1963,25.5413636363636364
1964,25.4027272727272727
1965,25.5418181818181818
1966,25.8795454545454545
1967,25.3886363636363636
1968,25.2363636363636364
1969,25.9500000000000000
1970,25.4836363636363636
1971,24.9568181818181818
1972,25.6459090909090909
1973,25.7131818181818182
1974,25.6159090909090909
1975,25.2440909090909091
1976,25.6154545454545455
1977,25.7259090909090909
1978,25.3827272727272727
1979,25.9427272727272727
1980,25.9968181818181818
1981,25.6227272727272727
1982,25.5659090909090909
1983,25.1777272727272727
1984,25.5236363636363636
1985,25.9140909090909091
1986,25.6454545454545455
1987,26.3304545454545455
1988,26.1786363636363636
1989,25.5609090909090909
1990,25.6045454545454545
1991,25.7522727272727273
1992,25.7195454545454545
1993,25.9204545454545455
1994,25.7172727272727273
1995,25.9004545454545455
1996,25.8395454545454545
1997,25.3463636363636364
1998,26.1254545454545455
1999,26.0963636363636364
2000,25.9913636363636364
2001,25.9577272727272727
2002,26.4559090909090909
2003,26.0531818181818182
2004,26.1595454545454545
2005,25.8954545454545455
2006,26.2036363636363636
2007,26.0781818181818182
2008,25.7654545454545455
2009,26.6127272727272727
2010,26.5790909090909091
2011,25.7990909090909091
2012,26.0172727272727273
2013,26.7518181818181818
